station,sensor_count,missing_rate
가곡고지,6,0.0
가곡택지,6,0.1667
가상태그,1,0.0
구역유량,3,0.0
낙안교촌,12,0.4167
낙안용능,12,0.0
남제남정,3,0.0
남제상인제,6,0.0
도사간동,2,0.0
매곡매산등,7,0.0
매곡박난봉,2,0.0
매곡북정리,7,0.0
배수지,19,0.0
별량구룡,2,0.5
별량금동,4,0.0
별량덕정,4,0.0
별량도홍,3,0.0
별량서동,3,0.0
별량송정,3,0.0
비룡가압장,5,0.0
상사구계,11,0.1818
상사동백,7,0.0
상사마륜,3,0.0
상사쌍지,9,0.1111
상사연동,8,1.0
상사응령,2,0.0
상사전원,6,0.0
생목가,6,0.0
생목가압장,5,0.0
서면대구,6,0.0
서면동산,9,0.0
서면북차,6,0.0
서면입석,5,0.0
서면지본,9,0.0
석현실버빌1,3,0.0
석현실버빌2,3,0.0
석현향림,3,0.0
송산가,6,0.0
송산배,6,0.0
수련소1,2,0.0
수련소2,6,0.0
승주서동,4,1.0
승주지동,4,1.0
신천배수지,4,0.0
연향2지구,2,0.0
왕조운곡,106,0.0
용당죽림,8,0.0
저전7통,8,0.125
조곡재경골_동,3,0.0
조곡재경골_서,7,0.0
조례단독,3,0.0
조례비봉,3,0.0
조례연동,7,0.0
조례왕지,11,0.0
조례조례,11,0.0
주암,20,0.2
주암행정2,2,0.0
죽청가압장,15,0.0
죽청배수지,21,0.0
청소가압장,8,0.0
축내가압장,5,0.0
해룡계당,2,0.0
해룡노원,4,1.0
해룡배수지,5,0.0
해룡용전,6,0.0
해룡월전,3,0.0
해룡풍덕,8,0.0
행복가압장,5,0.0
향동금곡,15,0.0
향동범죽,8,0.0
별량화포,11,0.4545
상사오곡,8,0.0
해룡노월,4,0.0
서면청소,9,0.3333
서면덕진,7,0.0
주암송광,34,0.0
별량용운,4,0.0
해룡복성,4,0.0
낙안창녕,12,0.0833
낙안창녕_배,14,0.3571
송광산척,21,0.2857
송광상이,20,0.25
송광신흥,25,0.6
송광신흥_배,30,0.6667
한신APT,8,1.0
조례복성,8,0.0
서면청소심원간,11,0.0
서면청소심원간2,8,1.0
상사선동,11,1.0
조례운동,9,1.0
외서지구,85,1.0
낙안상송,11,1.0
주암대구,6,1.0
